"","...1","LCM_Broad","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent","No.Experts"
"1","1","Broad_leaved,_mixed_and_yew_woodland",1260000,2,0.5,7.25,9,12,3
"2","2","Coniferous_woodland",1210000,1.25,0.25,2.75,8.6,7,NA
"3","3","Dwarf_shrub_heath",1480000,0.5,0.25,3.75,10.5,4,1
"4","4","HedgerowsNonAES",460000,7.85,3,15.19,3.3,6,3
"5","5","Rough_low-productivity_grassland",1040000,4.8,4,9.5,7.4,24,4
"6","7","Bog",555000,12,0,35,4,32,1
"7","8","Built_up_areas_and_gardens",1350000,1.95,0.4,3.95,9.6,13,2
"8","9","Fen_marsh_and_swamp",8080,0.5,0.05,1,0.1,0,1
"9","10","Improved_grassland",6660000,0.1,0,0.5,47.5,3,1
